run_id,geometry_id,repeat_index,seed,target_distance_m,total_distance_m,waypoint_count,stop_count,speed_m_s,altitude_m,total_flight_time_s,total_flight_energy_wh,mean_power_w,battery_voltage_mean_v,battery_current_mean_a,valid_energy_intervals,sample_count,valid
f42a50ab_geometry_0092_01,geometry_0092,1,1349409434,125.41332471698925,125.41332471698925,4,4,2.5,13.0,102.88977506399897,8.12905251215423,284.3945641835917,16.333024098180356,17.446802317285215,1028,1029,True
f42a50ab_geometry_0093_01,geometry_0093,1,562117925,122.4983220050166,122.4983220050166,3,3,2.5,13.0,98.89234349300023,7.781955718895785,283.25045986186655,16.33971872320069,17.37050517835288,988,989,True
f42a50ab_geometry_0094_01,geometry_0094,1,1963764597,214.47605679631076,214.47605679631076,7,7,2.5,13.0,148.89575111699924,12.08897503086008,292.26842592360725,16.262882590053703,17.99816616212285,1488,1489,True
f42a50ab_geometry_0095_01,geometry_0095,1,311570307,229.77863976559405,229.77863976559405,4,4,2.5,13.0,145.88885916500112,11.792212708558585,290.9649912996632,16.268716340199,17.91222714633005,1458,1459,True
f42a50ab_geometry_0096_01,geometry_0096,1,429416213,153.32568361897378,153.32568361897378,2,2,2.5,13.0,107.88810259799902,8.560535477379009,285.6135446583259,16.325189846770645,17.528220119405333,1078,1079,True
f42a50ab_geometry_0097_01,geometry_0097,1,1139027119,166.0215046562604,166.0215046562604,2,2,2.5,13.0,113.88998673400056,9.015247836255796,284.94117322776214,16.318272939787505,17.494512317151067,1138,1139,True
f42a50ab_geometry_0098_01,geometry_0098,1,295456419,229.32150047899344,229.3215004789935,3,3,2.5,13.0,141.8878991670008,11.502854739879897,291.82577835717586,16.272984580644174,17.960098234294712,1418,1419,True
f42a50ab_geometry_0099_01,geometry_0099,1,677517496,139.12433419822145,139.12433419822145,3,3,2.5,13.0,106.89065032500002,8.415139035018264,283.6529089558313,16.32901576931557,17.405654998485712,1067,1068,True
f42a50ab_geometry_0100_01,geometry_0100,1,1299301222,220.04939455677686,220.04939455677686,5,5,2.5,13.0,143.8927396299987,11.665154946935393,291.8214402740699,16.270228699398505,17.962932200166524,1438,1439,True
f42a50ab_geometry_0101_01,geometry_0101,1,33599984,238.44991778414231,238.44991778414231,6,6,2.5,13.0,154.88694780200058,12.582323336979561,292.4221815136837,16.25492655715302,18.015964714089964,1548,1549,True
f42a50ab_geometry_0102_01,geometry_0102,1,1285821930,226.83149772831325,226.83149772831325,7,7,2.5,13.0,152.88779013699968,12.476677055234743,293.75895881196965,16.255815018229114,18.09663133397747,1528,1529,True
f42a50ab_geometry_0103_01,geometry_0103,1,576775951,175.45822813811122,175.45822813811122,7,7,2.5,13.0,131.88954229500087,10.655754451905109,290.8306650747719,16.286935606718604,17.88528386284855,1318,1319,True
f42a50ab_geometry_0104_01,geometry_0104,1,459716009,112.62172854035072,112.62172854035072,4,4,2.5,13.0,98.88967696100008,7.724349602455428,281.1667258986533,16.342278884563697,17.242011706586794,988,989,True
f42a50ab_geometry_0105_01,geometry_0105,1,1169726681,207.83210214370675,207.83210214370672,7,7,2.5,13.0,145.88899335299902,11.83474684381315,292.0138986524974,16.267203674159532,17.978162687718665,1458,1459,True
f42a50ab_geometry_0106_01,geometry_0106,1,1472659626,183.09549509235225,183.09549509235222,4,4,2.5,13.0,126.88797126200006,10.147504717882324,287.87041041414477,16.2974743974594,17.693955472873785,1268,1269,True
f42a50ab_geometry_0107_01,geometry_0107,1,1133802214,189.9995406082129,189.9995406082129,3,3,2.5,13.0,125.89740183899994,10.063500406438667,287.7408219401292,16.299070643090936,17.68437606846652,1258,1259,True
f42a50ab_geometry_0108_01,geometry_0108,1,218179599,190.89905780634015,190.89905780634012,6,6,2.5,13.0,135.88956630900066,10.974889946715551,290.7230624490264,16.28194559699389,17.88385534332551,1358,1359,True
f42a50ab_geometry_0109_01,geometry_0109,1,1188332531,181.48551156947107,181.48551156947107,2,2,2.5,13.0,119.89543909399981,9.60295768227092,288.31074575139957,16.30616425394117,17.711409107304245,1198,1199,True
f42a50ab_geometry_0110_01,geometry_0110,1,561866144,80.56731025404517,80.56731025404517,2,2,2.5,13.0,78.88768929400067,6.054453042299898,276.24706222927534,16.37437977325478,16.91257246931205,788,789,True
f42a50ab_geometry_0111_01,geometry_0111,1,693989311,238.5454526756762,238.54545267567616,7,7,2.5,13.0,157.8892231560003,12.915008939284228,294.4507289711167,16.24836432352483,18.14690901271579,1578,1579,True
f42a50ab_geometry_0112_01,geometry_0112,1,1836901321,199.81215685398124,199.81215685398126,7,7,2.5,13.0,142.88766145800037,11.590362409830995,291.9871890418762,16.27113581204264,17.972406846955366,1428,1429,True
f42a50ab_geometry_0113_01,geometry_0113,1,323169889,144.92829116240063,144.92829116240063,6,6,2.5,13.0,116.89416184499896,9.359652172678409,288.22260760452775,16.309884450698735,17.702916629300145,1168,1169,True
